unique_id,ds,best_model
0101,2023-10-01,259
0101,2023-11-01,432
0101,2023-12-01,413
0101,2024-01-01,414
0101,2024-02-01,429
0101,2024-03-01,279
0101,2024-04-01,512
0101,2024-05-01,614
0101,2024-06-01,540
0101,2024-07-01,520
0101,2024-08-01,651
0101,2024-09-01,521
0102,2023-10-01,0
0102,2023-11-01,0
0102,2023-12-01,0
0102,2024-01-01,0
0102,2024-02-01,0
0102,2024-03-01,0
0102,2024-04-01,0
0102,2024-05-01,0
0102,2024-06-01,0
0102,2024-07-01,0
0102,2024-08-01,0
0102,2024-09-01,0
0201,2023-10-01,45
0201,2023-11-01,39
0201,2023-12-01,34
0201,2024-01-01,29
0201,2024-02-01,24
0201,2024-03-01,18
0201,2024-04-01,13
0201,2024-05-01,8
0201,2024-06-01,2
0201,2024-07-01,-2
0201,2024-08-01,-7
0201,2024-09-01,-13
0202,2023-10-01,46226
0202,2023-11-01,34072
0202,2023-12-01,28424
0202,2024-01-01,23697
0202,2024-02-01,34587
0202,2024-03-01,41191
0202,2024-04-01,28861
0202,2024-05-01,43972
0202,2024-06-01,39382
0202,2024-07-01,41197
0202,2024-08-01,46833
0202,2024-09-01,42213
0203,2023-10-01,801
0203,2023-11-01,801
0203,2023-12-01,801
0203,2024-01-01,801
0203,2024-02-01,801
0203,2024-03-01,801
0203,2024-04-01,801
0203,2024-05-01,801
0203,2024-06-01,801
0203,2024-07-01,801
0203,2024-08-01,801
0203,2024-09-01,801
0204,2023-10-01,807
0204,2023-11-01,807
0204,2023-12-01,807
0204,2024-01-01,807
0204,2024-02-01,807
0204,2024-03-01,807
0204,2024-04-01,807
0204,2024-05-01,807
0204,2024-06-01,807
0204,2024-07-01,807
0204,2024-08-01,807
0204,2024-09-01,807
0205,2023-10-01,1322
0205,2023-11-01,1322
0205,2023-12-01,1322
0205,2024-01-01,1322
0205,2024-02-01,1322
0205,2024-03-01,1322
0205,2024-04-01,1322
0205,2024-05-01,1322
0205,2024-06-01,1322
0205,2024-07-01,1322
0205,2024-08-01,1322
0205,2024-09-01,1322
0206,2023-10-01,608
0206,2023-11-01,494
0206,2023-12-01,523
0206,2024-01-01,472
0206,2024-02-01,468
0206,2024-03-01,439
0206,2024-04-01,426
0206,2024-05-01,404
0206,2024-06-01,389
0206,2024-07-01,371
0206,2024-08-01,356
0206,2024-09-01,340
0207,2023-10-01,219
0207,2023-11-01,219
0207,2023-12-01,219
0207,2024-01-01,219
0207,2024-02-01,219
0207,2024-03-01,219
0207,2024-04-01,219
0207,2024-05-01,219
0207,2024-06-01,219
0207,2024-07-01,219
0207,2024-08-01,219
0207,2024-09-01,219
0208,2023-10-01,163
0208,2023-11-01,156
0208,2023-12-01,158
0208,2024-01-01,158
0208,2024-02-01,158
0208,2024-03-01,203
0208,2024-04-01,217
0208,2024-05-01,390
0208,2024-06-01,315
0208,2024-07-01,398
0208,2024-08-01,364
0208,2024-09-01,301
0209,2023-10-01,395
0209,2023-11-01,395
0209,2023-12-01,395
0209,2024-01-01,395
0209,2024-02-01,395
0209,2024-03-01,395
0209,2024-04-01,395
0209,2024-05-01,395
0209,2024-06-01,395
0209,2024-07-01,395
0209,2024-08-01,395
0209,2024-09-01,395
0210,2023-10-01,72
0210,2023-11-01,72
0210,2023-12-01,72
0210,2024-01-01,72
0210,2024-02-01,72
0210,2024-03-01,72
0210,2024-04-01,72
0210,2024-05-01,72
0210,2024-06-01,72
0210,2024-07-01,72
0210,2024-08-01,72
0210,2024-09-01,72
0211,2023-10-01,2594
0211,2023-11-01,2594
0211,2023-12-01,2594
0211,2024-01-01,2594
0211,2024-02-01,2594
0211,2024-03-01,2594
0211,2024-04-01,2594
0211,2024-05-01,2594
0211,2024-06-01,2594
0211,2024-07-01,2594
0211,2024-08-01,2594
0211,2024-09-01,2594
0212,2023-10-01,528
0212,2023-11-01,528
0212,2023-12-01,528
0212,2024-01-01,528
0212,2024-02-01,528
0212,2024-03-01,528
0212,2024-04-01,528
0212,2024-05-01,528
0212,2024-06-01,528
0212,2024-07-01,528
0212,2024-08-01,528
0212,2024-09-01,528
0213,2023-10-01,210
0213,2023-11-01,210
0213,2023-12-01,210
0213,2024-01-01,210
0213,2024-02-01,210
0213,2024-03-01,210
0213,2024-04-01,210
0213,2024-05-01,210
0213,2024-06-01,210
0213,2024-07-01,210
0213,2024-08-01,210
0213,2024-09-01,210
0214,2023-10-01,288
0214,2023-11-01,277
0214,2023-12-01,275
0214,2024-01-01,317
0214,2024-02-01,369
0214,2024-03-01,572
0214,2024-04-01,540
0214,2024-05-01,449
0214,2024-06-01,406
0214,2024-07-01,421
0214,2024-08-01,342
0214,2024-09-01,571
0301,2023-10-01,25214
0301,2023-11-01,25214
0301,2023-12-01,25214
0301,2024-01-01,25214
0301,2024-02-01,25214
0301,2024-03-01,25214
0301,2024-04-01,25214
0301,2024-05-01,25214
0301,2024-06-01,25214
0301,2024-07-01,25214
0301,2024-08-01,25214
0301,2024-09-01,25214
0302,2023-10-01,355
0302,2023-11-01,355
0302,2023-12-01,355
0302,2024-01-01,355
0302,2024-02-01,355
0302,2024-03-01,355
0302,2024-04-01,355
0302,2024-05-01,355
0302,2024-06-01,355
0302,2024-07-01,355
0302,2024-08-01,355
0302,2024-09-01,355
0303,2023-10-01,27
0303,2023-11-01,27
0303,2023-12-01,27
0303,2024-01-01,27
0303,2024-02-01,27
0303,2024-03-01,27
0303,2024-04-01,27
0303,2024-05-01,27
0303,2024-06-01,27
0303,2024-07-01,27
0303,2024-08-01,27
0303,2024-09-01,27
0304,2023-10-01,757
0304,2023-11-01,757
0304,2023-12-01,757
0304,2024-01-01,757
0304,2024-02-01,757
0304,2024-03-01,757
0304,2024-04-01,757
0304,2024-05-01,757
0304,2024-06-01,757
0304,2024-07-01,757
0304,2024-08-01,757
0304,2024-09-01,757
0305,2023-10-01,791
0305,2023-11-01,791
0305,2023-12-01,791
0305,2024-01-01,791
0305,2024-02-01,791
0305,2024-03-01,791
0305,2024-04-01,791
0305,2024-05-01,791
0305,2024-06-01,791
0305,2024-07-01,791
0305,2024-08-01,791
0305,2024-09-01,791
0306,2023-10-01,8
0306,2023-11-01,10
0306,2023-12-01,8
0306,2024-01-01,9
0306,2024-02-01,8
0306,2024-03-01,8
0306,2024-04-01,7
0306,2024-05-01,7
0306,2024-06-01,7
0306,2024-07-01,7
0306,2024-08-01,6
0306,2024-09-01,6
0309,2023-10-01,249
0309,2023-11-01,249
0309,2023-12-01,249
0309,2024-01-01,249
0309,2024-02-01,249
0309,2024-03-01,249
0309,2024-04-01,249
0309,2024-05-01,249
0309,2024-06-01,249
0309,2024-07-01,249
0309,2024-08-01,249
0309,2024-09-01,249
0401,2023-10-01,331
0401,2023-11-01,330
0401,2023-12-01,330
0401,2024-01-01,330
0401,2024-02-01,329
0401,2024-03-01,329
0401,2024-04-01,329
0401,2024-05-01,329
0401,2024-06-01,329
0401,2024-07-01,329
0401,2024-08-01,329
0401,2024-09-01,329
0403,2023-10-01,368
0403,2023-11-01,368
0403,2023-12-01,368
0403,2024-01-01,368
0403,2024-02-01,368
0403,2024-03-01,368
0403,2024-04-01,368
0403,2024-05-01,368
0403,2024-06-01,368
0403,2024-07-01,368
0403,2024-08-01,368
0403,2024-09-01,368
0404,2023-10-01,0
0404,2023-11-01,0
0404,2023-12-01,0
0404,2024-01-01,0
0404,2024-02-01,0
0404,2024-03-01,0
0404,2024-04-01,0
0404,2024-05-01,0
0404,2024-06-01,0
0404,2024-07-01,0
0404,2024-08-01,0
0404,2024-09-01,0
0405,2023-10-01,80
0405,2023-11-01,80
0405,2023-12-01,80
0405,2024-01-01,80
0405,2024-02-01,80
0405,2024-03-01,80
0405,2024-04-01,80
0405,2024-05-01,80
0405,2024-06-01,80
0405,2024-07-01,80
0405,2024-08-01,80
0405,2024-09-01,80
0406,2023-10-01,0
0406,2023-11-01,0
0406,2023-12-01,0
0406,2024-01-01,0
0406,2024-02-01,0
0406,2024-03-01,0
0406,2024-04-01,0
0406,2024-05-01,0
0406,2024-06-01,0
0406,2024-07-01,0
0406,2024-08-01,0
0406,2024-09-01,0
0407,2023-10-01,6
0407,2023-11-01,6
0407,2023-12-01,6
0407,2024-01-01,6
0407,2024-02-01,6
0407,2024-03-01,6
0407,2024-04-01,6
0407,2024-05-01,6
0407,2024-06-01,6
0407,2024-07-01,6
0407,2024-08-01,6
0407,2024-09-01,6
0408,2023-10-01,0
0408,2023-11-01,0
0408,2023-12-01,0
0408,2024-01-01,0
0408,2024-02-01,0
0408,2024-03-01,0
0408,2024-04-01,0
0408,2024-05-01,0
0408,2024-06-01,0
0408,2024-07-01,0
0408,2024-08-01,0
0408,2024-09-01,0
0409,2023-10-01,12
0409,2023-11-01,12
0409,2023-12-01,12
0409,2024-01-01,12
0409,2024-02-01,12
0409,2024-03-01,12
0409,2024-04-01,12
0409,2024-05-01,12
0409,2024-06-01,12
0409,2024-07-01,12
0409,2024-08-01,12
0409,2024-09-01,12
0410,2023-10-01,0
0410,2023-11-01,0
0410,2023-12-01,0
0410,2024-01-01,0
0410,2024-02-01,0
0410,2024-03-01,0
0410,2024-04-01,0
0410,2024-05-01,0
0410,2024-06-01,0
0410,2024-07-01,0
0410,2024-08-01,0
0410,2024-09-01,0
0412,2023-10-01,0
0412,2023-11-01,0
0412,2023-12-01,0
0412,2024-01-01,0
0412,2024-02-01,0
0412,2024-03-01,0
0412,2024-04-01,0
0412,2024-05-01,0
0412,2024-06-01,0
0412,2024-07-01,0
0412,2024-08-01,0
0412,2024-09-01,0
0413,2023-10-01,0
0413,2023-11-01,0
0413,2023-12-01,0
0413,2024-01-01,0
0413,2024-02-01,0
0413,2024-03-01,0
0413,2024-04-01,0
0413,2024-05-01,0
0413,2024-06-01,0
0413,2024-07-01,0
0413,2024-08-01,0
0413,2024-09-01,0
0415,2023-10-01,1
0415,2023-11-01,0
0415,2023-12-01,0
0415,2024-01-01,0
0415,2024-02-01,0
0415,2024-03-01,3
0415,2024-04-01,0
0415,2024-05-01,1
0415,2024-06-01,4
0415,2024-07-01,0
0415,2024-08-01,0
0415,2024-09-01,0
0417,2023-10-01,528
0417,2023-11-01,1011
0417,2023-12-01,463
0417,2024-01-01,441
0417,2024-02-01,512
0417,2024-03-01,580
0417,2024-04-01,372
0417,2024-05-01,524
0417,2024-06-01,587
0417,2024-07-01,502
0417,2024-08-01,320
0417,2024-09-01,446
0418,2023-10-01,16
0418,2023-11-01,16
0418,2023-12-01,16
0418,2024-01-01,16
0418,2024-02-01,16
0418,2024-03-01,16
0418,2024-04-01,16
0418,2024-05-01,16
0418,2024-06-01,16
0418,2024-07-01,16
0418,2024-08-01,16
0418,2024-09-01,16
0501,2023-10-01,61
0501,2023-11-01,61
0501,2023-12-01,61
0501,2024-01-01,61
0501,2024-02-01,61
0501,2024-03-01,61
0501,2024-04-01,61
0501,2024-05-01,61
0501,2024-06-01,61
0501,2024-07-01,61
0501,2024-08-01,61
0501,2024-09-01,61
0506,2023-10-01,84
0506,2023-11-01,84
0506,2023-12-01,84
0506,2024-01-01,84
0506,2024-02-01,84
0506,2024-03-01,84
0506,2024-04-01,84
0506,2024-05-01,84
0506,2024-06-01,84
0506,2024-07-01,84
0506,2024-08-01,84
0506,2024-09-01,84
0701,2023-10-01,0
0701,2023-11-01,1
0701,2023-12-01,0
0701,2024-01-01,0
0701,2024-02-01,1
0701,2024-03-01,0
0701,2024-04-01,0
0701,2024-05-01,0
0701,2024-06-01,0
0701,2024-07-01,0
0701,2024-08-01,0
0701,2024-09-01,1
0702,2023-10-01,27
0702,2023-11-01,27
0702,2023-12-01,27
0702,2024-01-01,27
0702,2024-02-01,27
0702,2024-03-01,27
0702,2024-04-01,27
0702,2024-05-01,27
0702,2024-06-01,27
0702,2024-07-01,27
0702,2024-08-01,27
0702,2024-09-01,27
